index,adaBoost,extraTrees,randomForest,decisionTree,gradientBoosting,mean
红细胞平均体积,0.1974623493971258,0.032475085316641686,0.06607831245796549,0.03599539469076561,0.08104608176646835,0.08261144472579338
尿素,0.17638796485810124,0.02773590930704688,0.04037369592816118,0.0965958275505389,0.06436989212776771,0.08109265795432319
年龄,0.049124549440006535,0.08229520573991828,0.08681337801750467,0.0831143541285444,0.09513141887141684,0.07929578123947814
甘油三酯,0.02159747669682261,0.05520320779381267,0.06777186879288986,0.06331321404854288,0.0679550373933959,0.05516816094509278
*天门冬氨酸氨基转换酶,0.015022295115272222,0.031164080670865357,0.049410935449411386,0.05312827451926403,0.07296821813101864,0.04433876077716632
尿酸,0.036587195657225915,0.03485599826275755,0.033038936456703645,0.045436625982328074,0.05781185612461805,0.041546122496726644
肌酐,0.0953177861566797,0.04340482400629865,0.018504471278444797,0.023088937420047185,0.0096628601984678,0.037995775811987625
*r-谷氨酰基转换酶,0.020565380576049404,0.02373441925254212,0.03618078189362912,0.058257861292789405,0.025221067325240563,0.03279190206805012
红细胞平均血红蛋白浓度,0.04091730272426661,0.02892803471612443,0.028888464367016965,0.019959324279065008,0.03005433273037018,0.029749491763368635
红细胞体积分布宽度,0.012619222867507907,0.027636947811535438,0.03240483487017251,0.019062749449030213,0.04506338483116087,0.027357427965881385
红细胞计数,0.012497160908651713,0.03369783195101186,0.028084010815432547,0.027397246629713407,0.0258866518014977,0.025512580421261442
*碱性磷酸酶,0.014784179469069712,0.023263100160230175,0.02642394356494986,0.01593732746939613,0.047086388091354556,0.02549898775100009
*丙氨酸氨基转换酶,0.008993252371611464,0.02885963740518856,0.0269975966171013,0.020227175154534874,0.040626839247018744,0.02514090015909099
白细胞计数,0.01105643659261427,0.027808145912741118,0.03487548470312486,0.023731504282970172,0.02376756715123131,0.02424782772853635
血红蛋白,0.00647210451362301,0.027291961934687005,0.01899574798386333,0.03633809803890872,0.031108305929658374,0.024041243680148087
红细胞压积,0.02196707394687414,0.023853054166727332,0.022837297184014248,0.0388803386258066,0.010866835882968138,0.02368091996127809
淋巴细胞%,0.03412294417418484,0.02045768500766318,0.018852384310907955,0.01552128662736047,0.021436182826916738,0.022078096589406637
白蛋白,0.018415586226015045,0.020216112802254115,0.022108728064204202,0.03474199681304829,0.0132006142208595,0.02173660762527623
体检日期,0.0042386211160939016,0.026703439207700387,0.023115844331669307,0.018427012506577852,0.029111845283403086,0.020319352489088907
高密度脂蛋白胆固醇,0.02295479268955337,0.023492095254646777,0.01958703811494596,0.007752396766482439,0.026644316206270245,0.02008612780637976
嗜碱细胞%,0.010356598005907866,0.024671721497752017,0.024356341552158507,0.02728042025252994,0.013298089847423047,0.019992634231154275
中性粒细胞%,0.03435145125047421,0.021423033092563187,0.020997078240274948,0.011785733667971724,0.009167737391597614,0.019545006728576335
总胆固醇,0.007948266064318556,0.023847212020723173,0.02092848121958555,0.012547203218604303,0.024671840040050207,0.017988600512656355
红细胞平均血红蛋白量,0.03500278473378744,0.01671818939241416,0.015961747445021213,0.011678303008611196,0.008060711952724403,0.01748434730651168
单核细胞%,0.020147981922772236,0.021873379004420386,0.020777985484626796,0.017727051613365335,0.0008483703533632737,0.016274953675709605
低密度脂蛋白胆固醇,0.0051538900883934,0.02042692573354449,0.016464792084876202,0.01940028622335039,0.01833612609038323,0.015956404044109543
血小板平均体积,0.0018869183820352305,0.023649818849246648,0.020034582173818736,0.016040862818458217,0.011419672092745076,0.014606370863260785
血小板体积分布宽度,0.006701762443950453,0.02304736174724157,0.01896369620697416,0.014422759438360156,0.00987696272488629,0.014602508512282527
血小板计数,0.007697349350130926,0.017162956498429437,0.0177302709283993,0.015561790353250293,0.014217630803937278,0.014473999586829447
白球比例,0.013674526681791838,0.018268872425420545,0.01574054739079945,0.010641827817370351,0.012343538775348644,0.014133862618146165
嗜酸细胞%,0.004274384243760071,0.019505725415330345,0.018559515202613053,0.01602341054998996,0.005433627982791516,0.012759332678896987
*总蛋白,0.004250661277625884,0.01766884988857709,0.016875676353354876,0.01287243475598599,0.011250328044189501,0.012583590063946668
血小板比积,0.005690302028930097,0.019687834959778577,0.01603391347947341,0.016235344610269615,0.0021715944933283857,0.011963797914356016
*球蛋白,0.008459441661831322,0.019185569696118294,0.01631075347661747,0.008222149701654517,0.007470295028476649,0.01192964191293965
乙肝e抗体,0.0002687706405469948,0.01254036842032423,0.010747008935124761,0.012915073218367773,0.011463470444612198,0.009586938331795192
性别,0.012793164628974207,0.0194458435246438,0.004879071092200304,0.004058613248676292,0.003490962677018786,0.008933531034302677
乙肝核心抗体,2.3906664823224787e-05,0.010787090190645434,0.009623574974667292,0.011544471433057611,0.004987740065319343,0.007393356665702582
乙肝表面抗体,0.0,0.008997104678593857,0.005936032934419161,0.018466256611610218,1.0022237626199662e-05,0.006681883292449888
乙肝表面抗原,9.443799583787666e-05,0.010705120246923853,0.004759533907901485,0.00299268630355222,0.012447397800045956,0.006199835250852278
乙肝e抗原,0.00011972643675880615,0.0073102460369153435,0.0029756417149801487,0.00267637487924919,1.4185013029072816e-05,0.002619234816186512
